OBJECTID,Shape,direccion,name,localizacion,x_origen_nacional,y_origen_nacional,latitud,longitud
40,"(4715774.220700001, 2248330.984500002)",Los Huesos x la Unidad residencial torres de San Sebastian,ARS_40,Av. Oriental x Cll 41 (Huesos),4715774.2207,2248330.9845,6.24117125,-75.5695743
41,"(4714260.665600001, 2249157.9087000005)",Makro,ARS_41,Calle 44 (San Juan) x  Carrera 65,4714260.6656,2249157.9087,6.24858021,-75.58328501
42,"(4716793.247900001, 2250794.3464)",Metroplus Estacion San Pedro,ARS_42,Carrera 50 x Calle 67,4716793.2479,2250794.3464,6.26348679,-75.56047632
43,"(4714910.668300001, 2247272.473000003)",Metroplus Industriales,ARS_43,Carrera 52 x Calle 30,4714910.6683,2247272.473,6.23156347,-75.57732922
44,"(4714992.5611000005, 2245297.3625000007)",Monterrey,ARS_44,Carrera 48 x Calle 10,4714992.5611,2245297.3625,6.21371079,-75.57650235
45,"(4712855.058100001, 2248864.9703)",Nutibara por Jardin,ARS_45,Transversal 39B x Avenida 74B,4712855.0581,2248864.9703,6.24586934,-75.5959708
46,"(4716745.315400001, 2250067.4420999996)",P. H. Montecassino,ARS_46,Carrera 47 x Calle 61,4716745.3154,2250067.4421,6.25691291,-75.56087735
47,"(4717243.782800001, 2250581.218100002)",Palos Verdes,ARS_47,Av. Carlos Gardel x Calle 66,4717243.7828,2250581.2181,6.2615798,-75.5563964
48,"(4712590.548, 2248109.8057000004)",Panorama,ARS_48,Av. 33 x Carrera 78,4712590.548,2248109.8057,6.23903048,-75.5983268
49,"(4710691.2794, 2249032.3263000026)",Parque del Ajedrez,ARS_49,Carrera 92 x Calle 35,4710691.2794,2249032.3263,6.24728544,-75.61552645
50,"(4715653.853600001, 2244960.2128000017)",Parque Poblado,ARS_50,Carrera 43A x Calle 10,4715653.8536,2244960.2128,6.21069181,-75.57051348
51,"(4714945.5939, 2245245.0519000012)",Politecnico,ARS_51,Carrera 48 x Calle 10,4714945.5939,2245245.0519,6.2132358,-75.57692435
52,"(4715564.442000001, 2246987.8888000026)",Premium Plaza,ARS_52,Carrera 44 x Calle 29,4715564.442,2246987.8888,6.22901948,-75.57141035
53,"(4715152.825800002, 2243929.893400004)",Puente de la 4 Sur,ARS_53,Cra 43C x Cll 4 Sur,4715152.8258,2243929.8934,6.201355,-75.57499446
54,"(4716520.4358, 2253305.0540999994)",Puente Madre Laura,ARS_54,Carrera 53 x Calle 94,4716520.4358,2253305.0541,6.2861734,-75.56305212
55,"(4711745.551400001, 2246476.9263000023)",Quebrada Altavista,ARS_55,Carrera 83 x Calle 19,4711745.5514,2246476.9263,6.22423079,-75.60588776
56,"(4713136.2362, 2245588.8345)",Quebrada La Guayabala,ARS_56,Carrera 70 x Calle 9,4713136.2362,2245588.8345,6.21626385,-75.59328504
57,"(4713855.474200002, 2251026.6757000014)",San German,ARS_57,Carrera 74 x Calle 60,4713855.4742,2251026.6757,6.26545693,-75.58702883
58,"(4716329.181900001, 2249212.5906000007)",Soma,ARS_58,Carrera 46 x Calle 52,4716329.1819,2249212.5906,6.24916608,-75.56459934
59,"(4714148.612300001, 2246308.6999000013)",TCC La 65,ARS_59,Carrera 65 x Calle 20,4714148.6123,2246308.6999,6.22281668,-75.58417116
60,"(4715221.8921, 2247424.5874000024)",Tierragro,ARS_60,Calle 31 x Carrera 53,4715221.8921,2247424.5874,6.23295243,-75.57452427
61,"(4715875.958900001, 2243444.126600001)",Tv. Intermedia por Gonzalez,ARS_61,Carrera 35 x Calle 5 sur,4715875.9589,2243444.1266,6.19699504,-75.5684406
62,"(4711543.1941, 2248441.8467999995)",Universidad Adventista,ARS_62,Carrera 84 x Calle 34,4711543.1941,2248441.8468,6.24198549,-75.60780362
63,"(4715174.821700001, 2250423.2169000003)",Universidad Nacional,ARS_63,Carrera 64 C x Calle 56,4715174.8217,2250423.2169,6.26005995,-75.57508208
64,"(4712879.546200001, 2250213.6428999994)",Velodromo,ARS_64,Carrera 78 x Calle 47 D,4712879.5462,2250213.6429,6.25806312,-75.59580972
65,"(4714991.1307, 2242980.103700001)",Virgen Aguacatala,ARS_65,Carrera 43 A x Calle 12 Sur,4714991.1307,2242980.1037,6.19276117,-75.57641349
66,"(None, None)", , , ,,,0.0,0.0
67,"(None, None)", , , ,,,0.0,0.0
